Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
TIGAR	0.3547420449799445	5.4898328596405666	3.8041201227982078	0.0010562377690595157	0.567913029257384	-2.6995699116964715
PITPNB	0.3326408740999837	8.761766182024731	3.7776791761888786	0.0011244850297110376	0.567913029257384	-2.7194471546861485
RALY	-0.3626609022840956	7.584925934305279	-3.744381080585871	0.001216675692248384	0.567913029257384	-2.7445523614261447
ANXA1	0.5964335295584863	11.304392005175991	3.7430959628915135	0.001220379873748843	0.567913029257384	-2.745522881428199
PPP1R13B	-0.3065684603173845	6.919336148779971	-3.709296524490232	0.0013219106310867488	0.567913029257384	-2.771089990254442
FRAT1	-0.31031177853475905	7.226806244848189	-3.64938792230199	0.001522795553656908	0.567913029257384	-2.816598547761591
AZGP1	-0.6943412928538085	6.677346254261574	-3.587511790368098	0.0017619003311157868	0.567913029257384	-2.863844340410081
THAP7	-0.4368720642104436	7.034777042427723	-3.5409992454904575	0.0019656477218646783	0.567913029257384	-2.899510526713126
NELFB	-0.46776963885954614	7.703657281962546	-3.5259197863738407	0.0020365521955991654	0.567913029257384	-2.9110999014601466
CTAGE9	0.3529454807169645	6.903694684392133	3.493049326366826	0.0021999404090217	0.567913029257384	-2.936405203317163
ELMO3	-0.4973921962769896	7.676370124303483	-3.4807676288631266	0.0022642377168754224	0.567913029257384	-2.945874763411812
TBC1D2	-0.3631078710256556	6.5571861591864335	-3.4750826353176927	0.0022946212427032912	0.567913029257384	-2.9502606608938358
NT5DC2	-0.5487528467496061	6.043026555690574	-3.4705163611035292	0.0023193153233524045	0.567913029257384	-2.953784655127623
MYL6B	-0.45413048438859843	7.972455970776504	-3.4571249553250882	0.0023932490176547558	0.567913029257384	-2.964125337035239
TBCD	-0.3845125244801454	7.936673575696705	-3.4054135382087547	0.0027010721081052497	0.567913029257384	-3.0041359629248765
SURF1	-0.42206070683498315	9.4516623943452	-3.4043818304642937	0.002707592430277444	0.567913029257384	-3.0049354579897685
VPS51	-0.5385347971972998	9.254242460568813	-3.3916891151764266	0.00278908180186062	0.567913029257384	-3.014775115703486
OTUD4	0.36322093118531806	8.089205437431866	3.36760039908281	0.002950389415655611	0.567913029257384	-3.0334678236827894
HDAC9	0.47523328433249856	7.130906258298721	3.3604407986873115	0.003000068058129923	0.567913029257384	-3.03902817997964
TOP1	0.4855980517405725	8.556176470850852	3.3241866500023916	0.0032644517901677522	0.567913029257384	-3.0672144669933363
KYNU	0.5333279361183817	7.320139565991543	3.3186058310574738	0.003307121622309732	0.567913029257384	-3.07155764855613
TMEM165	0.39008749685232624	7.384711380105267	3.312672981022227	0.0033530801615186327	0.567913029257384	-3.0761759950015373
GRAMD2B	0.7992801732146629	6.914068659674453	3.3100268647095272	0.003373778673929608	0.567913029257384	-3.0782362224091684
CP	0.7941070774536886	9.219901762067087	3.293526809498739	0.0035056873144290613	0.567913029257384	-3.09108827346529
FAR2	0.43447176922051334	6.986606139630381	3.289748589518237	0.0035365927313187897	0.567913029257384	-3.0940324324623796
PPP1R26	-0.31184151209976607	7.168266063905728	-3.2880638925504333	0.003550458877390676	0.567913029257384	-3.0953453728768716
PSMA3	0.6871404507119103	8.861016409613233	3.273688322222494	0.003670955358665298	0.567913029257384	-3.1065523849332415
