Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
POMZP3	-0.957647067270067	6.682744650701305	-5.893051901186567	2.1752301021486412e-6	0.013072275319974418	4.385057994154751
SLC26A4	-2.951862130893292	4.517753863736746	-5.6120022235194025	4.714245056222336e-6	0.013072275319974418	3.7517998166484308
SAA4	-1.6046097623804185	6.285095507125872	-5.554824624148688	5.520386537151359e-6	0.013072275319974418	3.621997701439943
MMP10	-2.680931684824991	7.300311483144932	-5.264255938941005	1.2336336660094776e-5	0.021909333908328322	2.958113308772065
HBB	3.1532213290816	11.564936268528754	4.915149395808559	3.248144835145428e-5	0.04294011702409528	2.153440689961945
DUSP1	1.2849249648559733	10.708574058405953	4.875389927618383	3.6266990729810204e-5	0.04294011702409528	2.061486311367406
TMEM45A	-1.6578592610509404	8.606400180214788	-4.775447498412255	4.784086359417395e-5	0.04855164213900168	1.8301902464100035
SAA2	-2.019773474550256	7.6673971005876025	-4.573813351350977	8.357236281953832e-5	0.07421225818375003	1.3633135661104374
SMCHD1	0.29654778038510443	6.33891635243687	4.3914262686291785	1.3817591472091767e-4	0.09449586229936391	0.9414796796612404
HBA1	3.2243284820397804	10.84921783266343	4.359464996681814	1.508683677100578e-4	0.09449586229936391	0.8676719139301952
LIN37	-0.2882466152041038	7.2184388725714745	-4.3376577804496845	1.6018390635890803e-4	0.09449586229936391	0.8173391547181934
CXCL6	-1.692361561903115	8.681461605579107	-4.332285231083599	1.6256495210845785e-4	0.09449586229936391	0.8049423963564486
HBA2	3.1810569069018175	10.429675103094548	4.309784389601559	1.729231714374621e-4	0.09449586229936391	0.7530392379682791
SLC6A8	-0.4197336080330971	7.087627024872932	-4.222436269235921	2.1968901726511207e-4	0.1114764841893826	0.5518232049159586
SLC19A2	0.40449241280608883	7.940939230246164	4.1845321666111275	2.4368043100419636e-4	0.1154070521235874	0.4646601029385149
PLIN3	-0.36913235274548983	8.388012326710522	-4.054056527233699	3.477369726633213e-4	0.15439521586251467	0.16548620317631624
ACAD8	-0.2720109432578039	8.12439598136659	-3.9887855315994694	4.1512053398239725e-4	0.17347154549476176	0.016410899761195807
MON2	0.29379292162996207	6.755653465559589	3.95959025167824	4.492656073843177e-4	0.17731015971434408	-0.05012437631500877
LDHA	-0.44659479892289544	11.345682294348675	-3.9239624801375625	4.946826562100025e-4	0.1812695520574219	-0.13118853560398147
ST20	0.49895252662947265	6.118077120555479	3.9048390521425094	5.208868662058979e-4	0.1812695520574219	-0.17463832235249388
TOB1	0.336603792972445	11.365655282786355	3.87187000192889	5.692924088318449e-4	0.1812695520574219	-0.24944012346816713
LAMB3	-0.6761725498382917	8.899946746461179	-3.8631278053428426	5.828498677217679e-4	0.1812695520574219	-0.26925159945422017
PCNP	0.2798054055456201	8.758458301279388	3.846992719049716	6.08707093844947e-4	0.1812695520574219	-0.3057904397724718
DNAJC15	0.48964120455475146	7.800837242954136	3.827558753838093	6.41343866459982e-4	0.1812695520574219	-0.3497534706707137
HOMER3	-0.3095455335817823	6.746496731453159	-3.813005111303677	6.668994828874096e-4	0.1812695520574219	-0.38264242277978067
